"","siteIDScheme","media","NSamples","minValue","meanValue","maxValue","sd","pH","TSS","TDS","Cu","Zn","conductivity"
"20","ksm001MonitoringSite","river",2,0.002576,0.007728,0.014168,0.006,1,22,1055,2,3,1
"21","ksm001MonitoringSite","river",2,47.25,55.125,63,11.136,-4,8,934,3,1,5
"22","ksm001MonitoringSite","Tap",3,0.03864,0.2576,0.471408,0.167,6,30,1006,1,0,3
"23","ksm002MonitoringSite","river",2,0.005,0.005,0.006,0,1,22,932,2,1,5
"24","ksm001MonitoringSite","borehole",2,64,78,92,19.799,1,14,969,1,2,0
"25","ksm001MonitoringSite","river",1,1,1,1,0,-6,8,946,3,1,5
"26","ksm001MonitoringSite","borehole",1,69.3333,69.3333,69.3333,NA,-5,4,1001,1,0,4
"27","ksm001MonitoringSite","borehole",1,2.32,2.32,2.32,0,-3,20,966,1,3,5
"28","ksm001MonitoringSite","Tap",2,52.5,70.75,89,25.809,-5,27,1003,2,1,4
"29","ksm002MonitoringSite","Tap",2,6.6,7.566,8.533,1.367,3,9,1012,2,0,2
"30","ksm002MonitoringSite","Tap",12,73,83.9167,98,8.328,1,2,1087,2,1,2
"31","ksm001MonitoringSite","vendor",6,11.214,21.233,30.571,8.513,-5,12,965,2,2,0
"32","ksm001MonitoringSite","vendor",1,8.78,8.78,8.78,NA,3,2,928,2,3,3
"33","ksm001MonitoringSite","Tap",2,57.909,62.354,66.8,6.286,1,18,1049,2,1,1
"34","ksm001MonitoringSite","borehole",7,0.002576,0.030912,0.137816,0.037,5,27,978,0,2,1
"35","ksm001MonitoringSite","river",2,1.51,4.075,6.64,3.627,-7,28,1037,0,1,3
"36","ksm001MonitoringSite","borehole",2,8.536,9.482,10.427,1.336,4,13,1108,1,1,0
"37","ksm001MonitoringSite","borehole",11,34.666,64.324,83,19.89,-4,17,1041,0,2,1
"38","ksm001MonitoringSite","borehole",1,37.333,37.333,37.333,NA,7,3,919,2,0,2
"39","ksm001MonitoringSite","river",2,7.971,9.11,10.25,1.611,5,24,993,3,1,0
"40","ksm001MonitoringSite","vendor",10,4.35,7.484,9.7,2.07,-1,3,1070,1,2,1
"41","ksm001MonitoringSite","Tap",1,0.030912,0.030912,0.030912,0,1,12,999,1,1,3
"42","ksm001MonitoringSite","borehole",1,0.01,0.01,0.01,NA,3,4,1065,2,3,0
"43","ksm001MonitoringSite","vendor",4,10.65,11.448,12.35,0.891,6,7,1014,1,1,0
"44","ksm001MonitoringSite","vendor",1,50.75,50.75,50.75,NA,-7,12,1030,3,2,1
"45","ksm001MonitoringSite","vendor",4,0.002576,0.030912,0.09016,0.031,-3,5,1040,3,0,1
"46","ksm001MonitoringSite","river",2,44.4,67.5,90.6,32.668,-5,30,1084,1,3,2
"47","ksm001MonitoringSite","borehole",6,45.5,67.479,87.6,19.632,-7,7,901,0,1,3
"48","ksm001MonitoringSite","river",4,85.5,91.9,99.1,5.8793,1,17,1010,0,3,1
"49","ksm001MonitoringSite","river",4,33.5,63.125,86,24.056,-1,11,1096,0,2,3
"50","ksm001MonitoringSite","borehole",2,0.005152,0.011592,0.01932,0.008,-3,12,1014,1,1,2
"51","ksm001MonitoringSite","vendor",2,7.57,8.246,8.922,0.956,3,18,964,1,0,0
"52","ksm001MonitoringSite","borehole",1,57.3333,57.3333,57.3333,0,5,27,1073,3,1,5
"53","ksm001MonitoringSite","vendor",1,7.5,7.5,7.5,NA,7,23,962,0,0,2
"54","ksm001MonitoringSite","Tap",3,0.0083,0.0144,0.026,0.01,-2,10,899,2,3,5
"55","ksm001MonitoringSite","vendor",1,0.003864,0.003864,0.003864,NA,-4,12,1005,3,0,2
"56","ksm001MonitoringSite","vendor",2,5.875,7.631,9.388,2.484,-3,8,934,3,2,0
"57","ksm001MonitoringSite","river",2,0.0137,0.016,0.0183,0.0033,2,11,1109,2,1,1
"58","ksm001MonitoringSite","vendor",2,77.272,78.136,79,1.221,-5,9,1044,2,2,3
"59","ksm001MonitoringSite","Tap",2,10.4,10.825,11.25,0.601,-3,1,978,0,2,4
"60","ksm001MonitoringSite","river",2,0.015456,0.01932,0.023184,0.004,-2,23,1007,0,0,1
"61","ksm001MonitoringSite","Tap",1,2.45,2.45,2.45,0,-4,25,1024,3,2,2
"62","ksm001MonitoringSite","vendor",2,7.154,8.872,10.59,2.429,5,20,941,0,3,5
"63","ksm001MonitoringSite","river",1,42.4,42.4,42.4,0,-6,9,1043,0,2,5
"64","ksm001MonitoringSite","Tap",6,58.75,73.229,82.8,9.828,-1,13,949,1,0,1
"65","ksm001MonitoringSite","vendor",2,59.428,62.571,65.714,4.444,6,27,1089,2,1,1
"66","ksm001MonitoringSite","vendor",2,4.75,6.358,7.966,2.274,-4,3,1053,0,0,1
"67","ksm002MonitoringSite","borehole",2,0.020608,0.041216,0.063112,0.023,-6,10,1070,0,1,1
"68","ksm001MonitoringSite","river",2,9.485,10.261,11.037,1.097,-6,9,958,1,2,3
"69","ksm001MonitoringSite","vendor",1,0.011,0.011,0.011,NA,-5,9,1061,3,1,2
"70","ksm001MonitoringSite","river",1,91,91,91,NA,-6,24,1043,1,1,1
"71","ksm001MonitoringSite","borehole",3,0.045,0.293,0.751,0.396,4,2,1051,2,0,1
"72","ksm001MonitoringSite","Tap",4,6.1,8.255,10.78,2.468,-1,4,947,2,1,3
"73","ksm001MonitoringSite","vendor",4,0.013524,0.0364504,0.100464,0.0332,-5,29,1043,3,1,5
"74","ksm001MonitoringSite","Tap",2,54.5714,64.369,74.1667,13.8559,6,10,943,2,2,3
"75","ksm001MonitoringSite","borehole",4,7.133,8.862,10.466,1.485,-2,8,998,3,1,2
"76","ksm001MonitoringSite","Tap",2,0.027,0.03,0.033,0.004,5,7,1012,1,2,1
"77","ksm001MonitoringSite","vendor",4,0.01,0.02,0.025,0.006,-7,22,917,2,2,5
"78","ksm002MonitoringSite","river",2,0.005,0.006,0.006,0.001,0,14,957,0,1,2
"79","ksm001MonitoringSite","borehole",2,0.014,0.014,0.015,0.001,0,4,931,2,0,2
"80","ksm001MonitoringSite","river",1,10.469,10.469,10.469,0,3,8,1007,2,3,5
"81","ksm001MonitoringSite","vendor",2,10.666,39.958,69.25,41.424,7,2,1043,2,3,4
"82","ksm001MonitoringSite","borehole",2,0.009,0.009,0.009,0,-7,30,1035,2,1,5
"83","ksm001MonitoringSite","vendor",2,0.007,0.01,0.013,0.004,2,5,995,1,2,2
"84","ksm001MonitoringSite","river",2,0.055384,0.08372,0.112056,0.031,5,23,959,0,0,5
"85","ksm001MonitoringSite","borehole",2,45.99,52.432,58.875,9.111,1,15,1109,2,1,4
"86","ksm001MonitoringSite","vendor",2,7.425,8.775,10.125,1.909,-7,16,1043,2,2,1
"87","ksm001MonitoringSite","river",1,0.043792,0.043792,0.043792,NA,3,27,968,1,2,5
"88","ksm001MonitoringSite","river",2,6.9333,7.7667,8.6,1.1785,-3,1,925,1,3,4
"89","ksm001MonitoringSite","borehole",2,0.009,0.01,0.011,0.001,0,5,931,2,2,3
"90","ksm001MonitoringSite","vendor",2,0.012,0.021,0.03,0.012,4,5,981,0,2,1
"91","ksm001MonitoringSite","borehole",3,78,79.388,81.833,2.123,7,27,964,0,1,3
"92","ksm001MonitoringSite","vendor",2,7.625,8.487,9.35,1.219,5,4,937,1,2,0
"93","ksm001MonitoringSite","river",3,49.6,65.3556,87.6667,19.862,-6,24,1028,2,0,3
"94","ksm001MonitoringSite","river",1,8.55,8.55,8.55,0,-5,7,938,0,1,3
"95","ksm001MonitoringSite","Tap",3,2.833,3.361,3.7,0.463,-2,3,1091,2,3,2
"96","ksm001MonitoringSite","borehole",2,62.3333,64.8333,67.3333,3.5355,7,2,1017,1,1,1
"97","ksm001MonitoringSite","Tap",3,7.5,8.533,9.4,0.96,2,22,1026,1,0,1
"98","ksm001MonitoringSite","borehole",4,69.6,79.1,89.4,8.2146,1,5,972,0,0,4
"99","ksm001MonitoringSite","river",2,0.0077,0.0077,0.0077,0,-2,3,932,1,2,0
"100","ksm001MonitoringSite","river",2,0.005,0.006,0.006,0,-5,19,906,3,1,5
"101","ksm001MonitoringSite","borehole",3,0.015456,0.030912,0.050232,0.013,-1,16,930,0,1,5
"102","ksm001MonitoringSite","vendor",4,6.44,8.129,9.06,1.199,3,10,1074,0,1,0
"103","ksm001MonitoringSite","Tap",1,87.4,87.4,87.4,NA,-4,22,944,2,0,4
"104","ksm001MonitoringSite","borehole",13,67,87.1538,98,9.5468,-1,5,909,1,0,3
"105","ksm001MonitoringSite","Tap",2,7.7444,9.65,11.5556,2.6949,-5,25,934,1,1,3
"106","ksm001MonitoringSite","borehole",3,0.003864,0.01288,0.018032,0.006,1,2,1062,3,3,4
"107","ksm001MonitoringSite","vendor",1,0.015,0.015,0.015,0,4,5,940,2,3,4
"108","ksm001MonitoringSite","river",2,45,72.5,100,38.89,5,21,1099,0,2,3
"109","ksm001MonitoringSite","river",1,9.4,9.4,9.4,NA,1,24,1110,2,1,0
"110","ksm001MonitoringSite","Tap",2,68.5,78.375,88.25,13.965,6,4,1097,2,1,4
"111","ksm002MonitoringSite","river",2,0.018,0.02,0.022,0.002,-6,13,965,1,1,5
"112","ksm001MonitoringSite","borehole",2,9.15,9.425,9.7,0.388,3,9,1036,2,0,2
"113","ksm001MonitoringSite","borehole",3,67,76.166,84.5,8.779,0,7,924,2,2,1
"114","ksm001MonitoringSite","vendor",2,0.021,0.024,0.027,0.004,-4,17,1028,3,0,5
"115","ksm001MonitoringSite","borehole",3,8.2,8.533,8.75,0.29297,-4,21,1092,2,2,4
"116","ksm001MonitoringSite","borehole",3,8.49,10.278,12.445,2.004,-2,6,972,3,3,0
"117","ksm001MonitoringSite","borehole",2,9.937,10.462,10.987,0.742,7,12,1078,2,2,0
"118","ksm001MonitoringSite","Tap",4,0.028,0.039,0.065,0.017,-5,28,1066,1,2,4
"119","ksm001MonitoringSite","river",5,0.008,0.009,0.011,0.001,-7,1,991,1,1,1
"120","ksm001MonitoringSite","borehole",2,6.4,7.925,9.45,2.156,0,11,1046,3,3,1
"121","ksm001MonitoringSite","borehole",2,4.218,5.684,7.15,2.073,3,27,967,3,3,0
"122","ksm001MonitoringSite","vendor",4,2.05,5.125,8.1,2.48,4,14,1003,2,1,1
"123","ksm001MonitoringSite","Tap",5,0.039928,0.110768,0.211232,0.066,-3,11,959,2,1,2
"124","ksm001MonitoringSite","Tap",1,7.1429,7.1429,7.1429,NA,4,15,1099,2,3,1
"125","ksm001MonitoringSite","borehole",5,72.25,79.78,84.25,4.84169,2,20,1107,0,2,3
"126","ksm001MonitoringSite","borehole",6,88.642,92.341,97.5,3.925,7,26,945,1,3,5
"127","ksm001MonitoringSite","borehole",3,0.007,0.009,0.012,0.002,-5,23,949,1,0,2
"128","ksm001MonitoringSite","Tap",2,84.875,85.437,86,0.795,1,14,1052,3,2,5
"129","ksm001MonitoringSite","Tap",6,80.615,85.525,92.538,4.552,3,20,1040,1,2,2
"130","ksm001MonitoringSite","vendor",4,3.645,7.152,9.585,2.611,-6,3,997,2,3,1
"131","ksm002MonitoringSite","borehole",4,60.6667,67.9333,81,9.0203,6,28,1027,3,0,4
"132","ksm001MonitoringSite","vendor",3,2.88,4.9533,7.7,2.4795,0,29,1087,0,3,0
"133","ksm001MonitoringSite","vendor",2,6.655,8.365,10.075,2.418,-2,12,1011,3,1,4
"134","ksm001MonitoringSite","river",2,70.555,75.222,79.888,6.599,7,16,1043,2,0,2
"135","ksm001MonitoringSite","borehole",3,6.88,9.06,11.325,2.223,-4,14,1072,3,1,5
"136","ksm001MonitoringSite","borehole",2,59.333,65.666,72,8.956,4,13,942,1,0,4
"137","ksm001MonitoringSite","Tap",1,10.577,10.577,10.577,NA,-7,3,1102,2,1,1
"138","ksm001MonitoringSite","vendor",2,0.006,0.007,0.007,0.001,-7,21,1083,1,1,1
"139","ksm001MonitoringSite","river",4,0.079,0.093,0.102,0.01,5,8,1002,3,0,4
"140","ksm001MonitoringSite","Tap",2,8.453,9.469,10.484,1.436,2,24,927,2,3,2
"141","ksm001MonitoringSite","river",2,65,66.7,68.4,2.404,-6,15,906,0,2,1
"142","ksm001MonitoringSite","Tap",8,0.018,0.021,0.031,0.004,-2,10,906,1,2,3
"143","ksm001MonitoringSite","borehole",1,0.027048,0.027048,0.027048,NA,0,18,1037,2,3,3
"144","ksm001MonitoringSite","borehole",2,38.8,46.4,54,10.748,1,4,926,2,3,4
"145","ksm001MonitoringSite","Tap",2,6.26,6.62,6.98,0.509116882454315,1,7,919,3,1,1
"146","ksm001MonitoringSite","river",2,67.666,76.833,86,12.963,-3,10,983,2,0,3
"147","ksm001MonitoringSite","borehole",2,0.002576,0.003864,0.003864,0,3,9,979,0,2,1
"148","ksm001MonitoringSite","vendor",4,0.019,0.022,0.024,0.002,-1,3,1099,2,0,0
"149","ksm001MonitoringSite","Tap",4,0.0153,0.0183,0.0247,0.0043,-3,9,917,3,1,5
"150","ksm001MonitoringSite","borehole",3,41.333,69.861,90.25,25.453,-6,6,936,1,2,2
"151","ksm001MonitoringSite","vendor",6,6.666,8.531,10.016,1.318,-1,14,1062,1,3,3
"152","ksm001MonitoringSite","Tap",2,7.877,9.111,10.344,1.744,-3,29,1077,1,1,5
"153","ksm001MonitoringSite","river",5,6,7.23,8.1,0.775,6,18,994,0,1,5
"154","ksm001MonitoringSite","Tap",3,7.175,9.0792,10.425,1.6954,1,1,911,1,3,5
"155","ksm001MonitoringSite","river",1,0.01,0.01,0.01,NA,6,7,1093,1,2,0
"156","ksm001MonitoringSite","Tap",2,46.142,72.154,98.166,36.786,5,1,1053,3,3,1
"157","ksm001MonitoringSite","vendor",2,9.275,9.695,10.116,0.595,-1,22,908,1,3,4
"158","ksm001MonitoringSite","river",2,0.028,0.031,0.033,0.003,4,12,1093,1,0,3
"159","ksm001MonitoringSite","river",2,67.5,69.5,71.5,2.8284,-2,8,976,1,2,1
"160","ksm001MonitoringSite","borehole",3,11.6182,11.9576,12.4091,0.4072,-3,27,1106,0,2,1
"161","ksm001MonitoringSite","vendor",3,3.79,6.1567,8,2.1532,1,12,1099,2,3,3
"162","ksm001MonitoringSite","Tap",2,9.414,9.463,9.512,0.069,4,11,987,3,1,0
"163","ksm001MonitoringSite","borehole",5,0.034776,0.150696,0.236992,0.056,-2,30,971,3,1,5
"164","ksm001MonitoringSite","vendor",2,5.85,5.925,6,0.106,-4,20,960,0,0,5
"165","ksm001MonitoringSite","Tap",2,9.94,10.09,10.24,0.2121,-7,16,982,0,1,2
"166","ksm001MonitoringSite","borehole",2,62.375,68.5,74.625,8.6621,1,20,914,2,3,1
"167","ksm001MonitoringSite","vendor",4,49.2,62.75,80,15.188,-7,12,1087,0,1,4
"168","ksm001MonitoringSite","vendor",2,0.0663,0.0703,0.0743,0.0057,-3,14,976,0,2,2
"169","ksm001MonitoringSite","Tap",3,7.7,9.6917,12.925,2.8251,1,23,956,2,0,5
"170","ksm001MonitoringSite","Tap",4,0.027,0.036,0.044,0.008,-5,21,909,3,3,2
"171","ksm001MonitoringSite","Tap",3,0.009,0.011,0.013,0.001,-6,16,941,3,3,0
"172","ksm001MonitoringSite","vendor",2,72,80.25,88.5,11.667,-1,22,954,1,1,0
"173","ksm001MonitoringSite","vendor",1,9.34,9.34,9.34,0,-3,24,1007,0,2,2
"174","ksm001MonitoringSite","borehole",5,72,82.103,92.6,7.94,-3,28,921,1,0,2
"175","ksm001MonitoringSite","river",3,9.163,10.112,11.5,1.228,-1,10,1085,0,1,0
"176","ksm001MonitoringSite","river",2,66.166,67.25,68.333,1.532,4,8,977,1,2,3
"177","ksm001MonitoringSite","vendor",5,5.333,7.256,9.433,1.69,-1,25,1033,1,3,2
"178","ksm001MonitoringSite","borehole",3,79.615,81.833,85.5,3.198,6,29,1103,0,3,2
"179","ksm001MonitoringSite","Tap",2,0.002576,0.021896,0.042504,0.022,-3,3,1095,3,2,1
"180","ksm001MonitoringSite","borehole",3,0.003,0.006,0.009,0.003,-3,21,1000,2,1,0
"181","ksm001MonitoringSite","Tap",3,5.75,7.766,9.025,1.764,0,26,947,1,0,1
"182","ksm001MonitoringSite","vendor",1,7.826,7.826,7.826,NA,-5,3,913,2,3,3
"183","ksm001MonitoringSite","vendor",2,72.363,75.045,77.727,3.792,-1,8,1009,1,1,1
"184","ksm001MonitoringSite","Tap",2,61.4,62.7,64,1.838,-5,30,905,1,1,1
"185","ksm002MonitoringSite","borehole",1,2.7,2.7,2.7,NA,0,4,918,3,2,0
"186","ksm001MonitoringSite","borehole",1,87.8,87.8,87.8,NA,5,11,1100,1,0,1
"187","ksm001MonitoringSite","vendor",5,75.272,83.781,93.5,6.869,-1,10,1019,0,0,0
"188","ksm001MonitoringSite","vendor",2,0.007728,0.01288,0.018032,0.005,6,14,913,0,0,2
"189","ksm001MonitoringSite","river",12,39.166,65.127,85,15.238,-5,11,925,1,3,2
"190","ksm001MonitoringSite","borehole",2,55.666,73.533,91.4,25.267,-3,13,1001,0,0,4
"191","ksm001MonitoringSite","borehole",2,0.049,0.054,0.059,0.007,-6,30,1000,1,2,0
"192","ksm001MonitoringSite","borehole",2,87.363,89.292,91.222,2.728,-3,12,1016,2,3,1
"193","ksm001MonitoringSite","vendor",2,8.145,9.112,10.08,1.367,3,9,1081,1,0,0
"194","ksm001MonitoringSite","vendor",4,0.009016,0.015456,0.024472,0.005,2,29,938,2,3,0
"195","ksm001MonitoringSite","borehole",4,7.358,9.9,12.62,2.4593,-3,4,907,0,3,1
"196","ksm001MonitoringSite","Tap",6,74.333,81.455,88.416,5.711,-5,23,1015,3,2,0
"197","ksm001MonitoringSite","borehole",2,0.012,0.013,0.015,0.002,5,25,1000,0,0,4
"198","ksm001MonitoringSite","vendor",2,68.666,74.111,79.555,7.699,4,3,1085,1,3,4
"199","ksm001MonitoringSite","river",3,4.8,6.897,8.142,1.827,7,13,981,3,0,0
"200","ksm001MonitoringSite","vendor",2,62.714,68,73.285,7.475,3,15,1053,2,3,0
"201","ksm001MonitoringSite","river",3,0.027048,0.039928,0.050232,0.008,3,19,907,2,3,1
"202","ksm001MonitoringSite","borehole",2,3.86,4.64,5.42,1.103,7,11,1073,2,3,4
"203","ksm001MonitoringSite","borehole",2,0.0060536,0.0164864,0.0267904,0.0114,0,1,1106,1,2,0
"204","ksm001MonitoringSite","vendor",3,64.9,73.033,84.5,10.216,-1,25,1032,0,1,3
"205","ksm001MonitoringSite","river",2,63.375,66.562,69.75,4.507,-6,21,1001,3,1,5
"206","ksm001MonitoringSite","Tap",2,76.1,79.9,83.7,5.374,-3,8,975,3,0,4
"207","ksm001MonitoringSite","river",2,0.010304,0.0322,0.052808,0.023,-1,15,1059,1,2,2
"208","ksm001MonitoringSite","borehole",4,82,84,87,2.4495,5,7,967,1,3,2
"209","ksm001MonitoringSite","vendor",3,77.333,83.407,90,6.349,3,24,1068,1,1,1
"210","ksm001MonitoringSite","Tap",4,8.633,9.408,10.8,0.957,-7,23,1098,3,0,3
"211","ksm001MonitoringSite","vendor",2,47,68.8,90.6,30.829,-7,24,962,1,3,5
"212","ksm001MonitoringSite","Tap",4,49.6667,74.4167,85,16.6275,4,19,914,2,2,1
"213","ksm001MonitoringSite","Tap",3,0.0226,0.0241,0.026,0.0017,-1,23,1052,0,2,0
"214","ksm001MonitoringSite","vendor",2,73.222,74.166,75.111,1.335,-3,2,1050,1,0,5
"215","ksm001MonitoringSite","river",2,7.8,8.8,9.8,1.414,-6,26,1074,3,3,5
"216","ksm001MonitoringSite","borehole",2,0.14,0.206,0.273,0.094,1,25,1062,0,3,0
"217","ksm001MonitoringSite","vendor",2,0.0184,0.0202,0.022,0.0025,-2,9,1090,0,2,0
"218","ksm001MonitoringSite","Tap",3,8.45,9.3167,10.25,0.9018,6,24,1085,2,3,4
"219","ksm001MonitoringSite","Tap",1,85.363,85.363,85.363,NA,-2,30,1097,1,3,5
"220","ksm002MonitoringSite","vendor",2,0.031,0.043,0.055,0.017,-7,14,1080,1,0,1
"221","ksm001MonitoringSite","vendor",2,0.009,0.012,0.015,0.004,0,24,903,2,1,0
"222","ksm001MonitoringSite","borehole",12,8,9.64,11.8,1.306,-6,20,1040,2,2,3
"223","ksm001MonitoringSite","vendor",1,8.233,8.233,8.233,NA,-3,22,955,3,1,0
"224","ksm001MonitoringSite","river",1,10,10,10,NA,3,26,999,0,0,2
"225","ksm001MonitoringSite","river",1,71.4,71.4,71.4,0,1,2,1057,1,3,1
"226","ksm001MonitoringSite","vendor",4,20.333,26.708,30.666,4.468,5,23,921,1,3,2
"227","ksm001MonitoringSite","Tap",6,0.287224,0.834624,1.540448,0.33,0,19,1051,0,1,1
"228","ksm001MonitoringSite","borehole",3,5.575,7.091,8.85,1.65,-5,14,997,3,1,0
"229","ksm001MonitoringSite","borehole",3,8.6,9.258,10.575,1.14,-6,5,1026,3,0,3
"230","ksm001MonitoringSite","vendor",5,4.94,6.904,8.68,1.403,5,30,911,3,0,4
"231","ksm001MonitoringSite","borehole",2,0.003,0.004,0.006,0.001,6,4,993,3,1,1
"232","ksm001MonitoringSite","river",2,0.050232,0.05152,0.054096,0.002,6,15,1035,2,2,0
"233","ksm001MonitoringSite","Tap",3,0.0117,0.0141,0.0153,0.0021,7,5,1083,3,0,5
"234","ksm001MonitoringSite","river",1,54.875,54.875,54.875,NA,-3,27,935,3,3,5
"235","ksm002MonitoringSite","borehole",3,6.1,7.316,8.4,1.155,-5,25,1012,1,3,1
"236","ksm001MonitoringSite","vendor",2,0.008,0.008,0.008,0,1,13,953,1,0,1
"237","ksm001MonitoringSite","borehole",2,68.727,74.454,80.181,8.09958,-4,4,1045,1,2,0
"238","ksm001MonitoringSite","vendor",6,0.001288,0.074704,0.240856,0.086,-6,14,962,1,3,5
"239","ksm001MonitoringSite","river",2,0.0094024,0.0113344,0.0132664,0.0021,-1,27,1051,3,0,4
"240","ksm001MonitoringSite","Tap",3,8.9667,10.3489,11.12,1.1997,-3,21,992,1,3,4
"241","ksm001MonitoringSite","borehole",1,0.0382536,0.0382536,0.0382536,0,-2,18,1091,3,2,4
"242","ksm001MonitoringSite","river",1,0.0033,0.0033,0.0033,NA,4,24,945,1,0,4
"243","ksm001MonitoringSite","borehole",1,52.75,52.75,52.75,NA,-5,15,1056,2,0,5
"244","ksm001MonitoringSite","river",4,0.007728,0.018032,0.028336,0.006,-6,9,1033,1,2,5
"245","ksm001MonitoringSite","river",1,44.333,44.333,44.333,NA,-4,30,1010,0,2,3
"246","ksm001MonitoringSite","vendor",2,48,55.3333,62.6667,10.3709,-2,26,1101,1,2,4
"247","ksm001MonitoringSite","river",5,8.75,9.748,11.4,1.178,1,10,902,0,0,2
"248","ksm001MonitoringSite","river",3,10.6,11.4333,13,1.3577,7,22,1102,0,3,2
"249","ksm001MonitoringSite","vendor",5,7.63,9.729,10.742,1.226,3,24,1069,2,2,2
"250","ksm001MonitoringSite","borehole",2,81.142,82.071,83,1.313,2,23,1053,0,0,4
"251","ksm001MonitoringSite","Tap",3,41,58.833,76.5,17.75,4,17,909,1,3,1
"252","ksm001MonitoringSite","borehole",3,8.633,9.422,10,0.707,-3,10,1033,3,0,4
"253","ksm001MonitoringSite","river",3,66.375,75.666,86,9.853,0,17,1108,0,1,4
"254","ksm001MonitoringSite","river",1,1.54,1.54,1.54,0,-6,4,1099,3,1,5
"255","ksm001MonitoringSite","borehole",2,7.34,7.35,7.36,0.01414,4,16,1066,1,3,0
"256","ksm001MonitoringSite","borehole",2,0.005,0.0064,0.0078,0.0019,0,5,955,2,2,0
"257","ksm001MonitoringSite","Tap",5,8.6333,9.36,10.3167,0.6834,-1,3,1094,1,0,3
"258","ksm001MonitoringSite","river",2,0.005,0.005,0.006,0,-6,10,956,3,2,4
"259","ksm001MonitoringSite","Tap",2,8.325,9.806,11.287,2.094,4,26,1025,3,3,2
"260","ksm001MonitoringSite","Tap",1,69.25,69.25,69.25,NA,3,30,1041,1,3,5
"261","ksm001MonitoringSite","Tap",2,95.4,96.4,97.4,1.414,5,7,977,2,1,4
"262","ksm001MonitoringSite","Tap",3,57,67.755,84.666,14.825,-1,19,916,1,3,5
"263","ksm001MonitoringSite","Tap",2,39,48.25,57.5,13.081,-2,29,1004,0,3,1
"264","ksm001MonitoringSite","borehole",2,51.375,57.354,63.333,8.455,-1,6,983,0,3,3
"265","ksm002MonitoringSite","borehole",2,0.025,0.0275,0.03,0.0035,-3,6,1007,3,2,5
"266","ksm001MonitoringSite","Tap",1,67.6,67.6,67.6,NA,5,28,954,3,0,0
"267","ksm001MonitoringSite","river",3,9.24,10.939,12.222,1.534,-6,9,975,0,3,5
"268","ksm001MonitoringSite","borehole",2,67.5,72.75,78,7.424,-1,18,1024,0,3,0
"269","ksm001MonitoringSite","Tap",2,9.3583,10.6875,12.0167,1.8797,-3,3,1045,3,0,0
"270","ksm001MonitoringSite","borehole",6,0.004,0.004,0.005,0,-6,10,926,1,2,3
"271","ksm001MonitoringSite","borehole",3,0.025,0.029,0.032,0.003,-6,17,1015,0,0,1
"272","ksm001MonitoringSite","Tap",7,8.3,9.4143,11.3,1.0931,7,5,970,1,2,4
"273","ksm001MonitoringSite","river",2,0.021896,0.092736,0.162288,0.077,-4,1,1027,3,2,3
"274","ksm001MonitoringSite","vendor",2,0.014168,0.02576,0.03864,0.013,-4,1,954,1,3,5
"275","ksm001MonitoringSite","Tap",5,3.433,5.68,7,1.363,3,15,1052,1,2,5
"276","ksm001MonitoringSite","vendor",2,0.009,0.01,0.011,0.001,6,15,1046,0,2,4
"277","ksm001MonitoringSite","river",1,0.0223,0.0223,0.0223,0,0,16,971,3,2,4
"278","ksm001MonitoringSite","river",2,6.666,7.916,9.166,1.767,-2,29,1094,3,3,1
